mol_id,mol_name,smiles
1,PC,*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1
2,PU,*CNc1ccc(Cc2ccc(NC(=O)OCCO*)cc2)cc1
3,NYLON,*NCCCCCCNC(=O)CCCCC(=O)*
4,HIPS,*CC(*)C1=CC=CC=C1
5,PS,*CC(c1ccccc1)*
6,SAN,*C=C(*)C#N.*C=C(*)c1ccccc1
7,ABS,*C=CC=C*.*C=C(*)C#N.*C=C(*)C1=CC=CC=C1
8,PPO,*Oc1c(C)cc(cc1C)*
10,PEKK,*Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)*
11,PMMA,*CC(*)(C)C(=O)OC
12,PP,*CC(*)C
13,PSU,CC(C)(c1ccc(O*)cc1)c1ccc(Oc2ccc(cc2)S(=O)(=O)c2ccc(O*)cc2)cc1
14,PEN,*OCCOC(=O)c1ccc2cc(C(*)=O)ccc2c1
15,BPC-PC,ClC(Cl)=C(C1=CC=C(O*)C=C1)C1=CC=C(OC(*)=O)C=C1
16,PPSU,*OC1CCC(CC1)C1CCC(CC1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1
17,PVC,*CC(Cl)*
18,PEI,CC(C)(C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=CC(*)=CC=C2)C=C1
19,PAI,*C(=O)C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(N*)C=C1
21,EVA,*CC(*)OC(C)=O.*CC*
22,EBA,*CC(*)C(=O)OCCCC.*CC*
23,ABS,*C=C(*)C#N.*C=C(*)c1ccccc1.*C=CC=C*
24,CPVC,*C(Cl)C(*)(Cl)Cl.*CC(*)(Cl)Cl.*CC(*)Cl
25,Epoxy(DER332),*OCC(O)COc1ccc(C(C)(C)c2ccc(*)cc2)cc1.CC(C)(c1ccccc1)c1ccc(OCC2CO2)cc1.OCC1CO1
26,Epoxy(DER542),*CC(O)COc1c(Br)cc(C(C)(C)c2cc(Br)c(O*)c(Br)c2)cc1Br.CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(OCC2CO2)c(Br)c1.CC1CO1
27,isophthalic polyster,*OCCOC(=O)c1ccc(C(=O)OCCOC(=O)C=CC(*)=O)cc1.O=CC=CC(=O)O.OCCO
28,TPU,*OCCCCOC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1.*OCOC(=O)CCCCC(*)=O.O=CNc1ccc(Cc2ccccc2)cc1.OCCCO
