tig50, qpua_pk50, sea, co
30.513975,831.819397,233.732742,0.020086
30.469254,824.622620,225.286484,0.020082
30.442272,817.545959,217.006927,0.020078
30.432594,810.591248,208.926300,0.020073
30.439676,803.760498,201.119583,0.020069
30.462875,797.056091,193.706558,0.020065
30.501427,790.480713,186.829636,0.020060
30.554472,784.036865,180.605179,0.020056
30.621101,777.726624,175.075531,0.020052
30.700478,771.550354,170.197342,0.020048
30.791840,765.507263,165.867325,0.020044
30.894573,759.595703,161.961197,0.020040
31.008152,753.813660,158.361679,0.020036
31.132164,748.158997,154.971786,0.020033
31.266232,742.629700,151.718353,0.020029
31.409996,737.223816,148.551498,0.020026
31.563107,731.940002,145.443008,0.020022
31.725185,726.776611,142.384079,0.020019
31.895817,721.732727,139.382111,0.020015
32.074551,716.807251,136.455795,0.020011
32.260872,711.998901,133.628754,0.020008
32.454262,707.306641,130.923264,0.020005
32.654194,702.729187,128.355545,0.020001
32.860134,698.264465,125.933525,0.019998
33.071568,693.910889,123.657188,0.019995
33.288025,689.665955,121.520309,0.019992
33.509041,685.527283,119.512695,0.019989
33.734180,681.492432,117.622292,0.019986
33.963039,677.558655,115.836632,0.019983
34.195210,673.723450,114.143822,0.019980
34.430332,669.983948,112.533058,0.019977
34.668022,666.337524,110.994804,0.019974
34.907932,662.781555,109.520851,0.019972
35.149723,659.313171,108.104179,0.019969
35.393066,655.929932,106.738922,0.019966
35.637627,652.629333,105.420105,0.019964
35.883102,649.408691,104.143578,0.019961
36.129204,646.265625,102.905830,0.019959
36.375641,643.197754,101.703903,0.019957
36.622154,640.202576,100.535332,0.019954
36.868477,637.277771,99.397934,0.019952
37.114376,634.421204,98.289871,0.019949
37.359619,631.630676,97.209496,0.019947
37.603989,628.903992,96.155380,0.019945
37.847282,626.239014,95.126228,0.019943
38.089321,623.633911,94.120880,0.019941
38.329941,621.086487,93.138260,0.019938
38.568954,618.594971,92.177368,0.019936
38.806240,616.157410,91.237244,0.019934
39.041664,613.772217,90.317032,0.019932
39.275101,611.437500,89.415901,0.019930
39.506439,609.151550,88.533051,0.019928
39.735588,606.913025,87.667740,0.019926
39.962456,604.719971,86.819229,0.019924
40.186985,602.571167,85.986816,0.019922
40.409073,600.465088,85.169861,0.019920
40.628716,598.400330,84.367744,0.019918
40.845833,596.375488,83.579834,0.019916
41.060402,594.389343,82.805565,0.019915
41.272400,592.440552,82.044403,0.019913
41.481785,590.528015,81.295830,0.019911
41.688560,588.650513,80.559364,0.019909
41.892708,586.806946,79.834541,0.019907
42.094261,584.996155,79.120926,0.019906
42.293175,583.217224,78.418129,0.019904
42.489498,581.469177,77.725777,0.019902
42.683243,579.750916,77.043510,0.019900
42.874416,578.061646,76.371025,0.019899
43.063057,576.400269,75.708015,0.019897
43.249191,574.766296,75.054207,0.019895
43.432850,573.158752,74.409378,0.019894
43.614067,571.576721,73.773285,0.019892
43.792896,570.019592,73.145721,0.019891
43.969360,568.486511,72.526520,0.019889
44.143520,566.976990,71.915520,0.019887
44.315414,565.490234,71.312561,0.019886
44.485092,564.025574,70.717529,0.019884
44.652615,562.582520,70.130310,0.019883
44.818012,561.160339,69.550827,0.019881
44.981369,559.758667,68.978973,0.019880
45.142708,558.376648,68.414703,0.019878
45.302094,557.014160,67.857941,0.019877
45.459595,555.670349,67.308647,0.019875
45.615261,554.344910,66.766792,0.019874
45.769135,553.037415,66.232353,0.019873
45.921295,551.747314,65.705284,0.019871
46.071781,550.474182,65.185616,0.019870
46.220654,549.217773,64.673317,0.019868
46.367970,547.977478,64.168388,0.019867
46.513775,546.753113,63.670841,0.019866
46.658142,545.544250,63.180687,0.019864
46.801109,544.350525,62.697933,0.019863
46.942738,543.171570,62.222603,0.019862
47.083092,542.007141,61.754692,0.019860
47.222202,540.856873,61.294239,0.019859
47.360119,539.720581,60.841270,0.019858
47.496906,538.597961,60.395775,0.019857
47.632614,537.488586,59.957794,0.019855
47.767265,536.392395,59.527328,0.019854
47.900932,535.309021,59.104404,0.019853
48.033646,534.238342,58.689018,0.019852
48.165451,533.179932,58.281204,0.019850
48.296387,532.133728,57.880943,0.019849
48.426498,531.099548,57.488247,0.019848
48.555824,530.077026,57.103104,0.019847
48.684387,529.066162,56.725517,0.019846
48.812244,528.066589,56.355469,0.019844
48.939419,527.078125,55.992935,0.019843
49.065941,526.100769,55.637905,0.019842
49.191849,525.134216,55.290337,0.019841
49.317162,524.178223,54.950199,0.019840
49.441925,523.232788,54.617447,0.019839
49.566147,522.297668,54.292034,0.019838
49.689865,521.372620,53.973915,0.019837
49.813099,520.457642,53.663017,0.019836
49.935871,519.552551,53.359272,0.019835
50.058205,518.657166,53.062622,0.019833
50.180122,517.771240,52.772972,0.019832
50.301632,516.894775,52.490250,0.019831
50.422764,516.027649,52.214355,0.019830
50.543530,515.169617,51.945190,0.019829
50.663940,514.320496,51.682674,0.019828
50.784012,513.480286,51.426682,0.019827
50.903763,512.648804,51.177105,0.019826
51.023212,511.825836,50.933838,0.019825
51.142357,511.011444,50.696770,0.019824
51.261215,510.205200,50.465771,0.019823
51.379795,509.407227,50.240707,0.019822
51.498112,508.617310,50.021469,0.019821
51.616173,507.835297,49.807934,0.019820
51.733986,507.061035,49.599960,0.019820
51.851551,506.294373,49.397427,0.019819
51.968887,505.535278,49.200199,0.019818
52.085999,504.783569,49.008156,0.019817
52.202885,504.039215,48.821152,0.019816
52.319569,503.301910,48.639072,0.019815
52.436039,502.571625,48.461784,0.019814
52.552307,501.848297,48.289158,0.019813
52.668373,501.131683,48.121063,0.019812
52.784256,500.421753,47.957382,0.019811
52.899944,499.718323,47.798000,0.019811
53.015465,499.021332,47.642776,0.019810
53.130798,498.330597,47.491600,0.019809
53.245960,497.646027,47.344360,0.019808
53.360954,496.967590,47.200939,0.019807
53.475777,496.295105,47.061226,0.019806
53.590446,495.628357,46.925110,0.019806
53.704956,494.967468,46.792488,0.019805
53.819317,494.312134,46.663258,0.019804
53.933510,493.662231,46.537312,0.019803
54.047569,493.017914,46.414558,0.019802
54.161476,492.378845,46.294891,0.019801
54.275242,491.745087,46.178230,0.019801
54.388863,491.116333,46.064487,0.019800
54.502342,490.492706,45.953556,0.019799
54.615696,489.873932,45.845371,0.019798
54.728909,489.260040,45.739845,0.019798
54.841995,488.650940,45.636894,0.019797
54.954941,488.046509,45.536449,0.019796
55.067757,487.446655,45.438423,0.019795
55.180447,486.851349,45.342751,0.019795
55.293015,486.260498,45.249367,0.019794
55.405441,485.673981,45.158199,0.019793
55.517754,485.091736,45.069180,0.019792
55.629940,484.513641,44.982246,0.019792
55.742004,483.939850,44.897339,0.019791
55.853947,483.370026,44.814404,0.019790
55.965744,482.804260,44.733379,0.019789
56.077435,482.242401,44.654205,0.019789
56.188992,481.684387,44.576828,0.019788
56.300434,481.130310,44.501205,0.019787
56.411747,480.579956,44.427280,0.019786
56.522926,480.033203,44.355000,0.019786
56.633972,479.490173,44.284328,0.019785
56.744911,478.950836,44.215210,0.019784
56.855698,478.414948,44.147614,0.019784
56.966370,477.882416,44.081486,0.019783
57.076897,477.353485,44.016788,0.019782
57.187286,476.827942,43.953480,0.019782
57.297543,476.305695,43.891529,0.019781
57.407658,475.786804,43.830894,0.019780
57.517635,475.270996,43.771530,0.019780
57.627468,474.758636,43.713421,0.019779
57.737144,474.249298,43.656517,0.019778
57.846687,473.743103,43.600800,0.019777
57.956070,473.240021,43.546219,0.019777
58.065300,472.739899,43.492760,0.019776
58.174374,472.242859,43.440388,0.019775
58.283287,471.748779,43.389076,0.019775
58.392040,471.257599,43.338787,0.019774
58.500629,470.769257,43.289513,0.019774
58.609055,470.283875,43.241211,0.019773
58.717304,469.801300,43.193859,0.019772
58.825386,469.321442,43.147430,0.019772
58.933285,468.844330,43.101917,0.019771
59.041016,468.369995,43.057278,0.019770
59.148556,467.898285,43.013504,0.019770
59.255920,467.429260,42.970562,0.019769
59.363098,466.962921,42.928429,0.019768
59.470097,466.499023,42.887100,0.019768
59.576881,466.037750,42.846542,0.019767
59.683472,465.578979,42.806744,0.019766
59.789875,465.122681,42.767677,0.019766
59.896095,464.668884,42.729336,0.019765
60.002102,464.217529,42.691692,0.019765
60.107899,463.768494,42.654736,0.019764
60.213490,463.321869,42.618446,0.019763
60.318878,462.877563,42.582809,0.019763
60.424068,462.435669,42.547810,0.019762
60.529034,461.995911,42.513432,0.019761
60.633789,461.558472,42.479656,0.019761
60.738331,461.123260,42.446472,0.019760
60.842670,460.690186,42.413872,0.019760
60.946781,460.259247,42.381832,0.019759
61.050674,459.830536,42.350349,0.019758
61.154358,459.403839,42.319393,0.019758
61.257820,458.979309,42.288971,0.019757
61.361057,458.556671,42.259064,0.019757
61.464073,458.136261,42.229660,0.019756
61.566868,457.717590,42.200737,0.019755
61.669437,457.301147,42.172298,0.019755
61.771801,456.886505,42.144325,0.019754
61.873936,456.473785,42.116814,0.019754
61.975853,456.062958,42.089752,0.019753
62.077538,455.653961,42.063122,0.019752
62.179008,455.246796,42.036926,0.019752
62.280273,454.841431,42.011143,0.019751
62.381302,454.437836,41.985767,0.019751
62.482124,454.035980,41.960796,0.019750
62.582718,453.635864,41.936214,0.019750
62.683086,453.237427,41.912010,0.019749
62.783257,452.840729,41.888184,0.019748
62.883209,452.445587,41.864727,0.019748
62.982933,452.052063,41.841621,0.019747
63.082462,451.660126,41.818871,0.019747
63.181770,451.269775,41.796463,0.019746
63.280888,450.880981,41.774387,0.019746
63.379776,450.493744,41.752644,0.019745
63.478462,450.107941,41.731220,0.019744
63.576958,449.723602,41.710114,0.019744
63.675240,449.340698,41.689316,0.019743
63.773319,448.959259,41.668808,0.019743
63.871212,448.579254,41.648609,0.019742
63.968895,448.200592,41.628696,0.019742
64.066399,447.823242,41.609066,0.019741
64.163696,447.447205,41.589714,0.019740
64.260826,447.072601,41.570629,0.019740
64.357750,446.699127,41.551811,0.019739
64.454506,446.326996,41.533257,0.019739
64.551064,445.956055,41.514957,0.019738
64.647453,445.586365,41.496910,0.019738
64.743668,445.217834,41.479111,0.019737
64.839699,444.850555,41.461544,0.019737
64.935562,444.484406,41.444210,0.019736
